iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million
ABW,Aruba,3/13/2020,2,2,0,0,18.733,18.733
ABW,Aruba,3/20/2020,4,2,0,0,37.465,18.733
ABW,Aruba,3/24/2020,12,8,0,0,112.395,74.93
ABW,Aruba,3/25/2020,17,5,0,0,159.227,46.831
ABW,Aruba,3/26/2020,19,2,0,0,177.959,18.733
ABW,Aruba,3/27/2020,28,9,0,0,262.256,84.296
ABW,Aruba,3/28/2020,28,0,0,0,262.256,0
ABW,Aruba,3/29/2020,28,0,0,0,262.256,0
ABW,Aruba,3/30/2020,50,22,0,0,468.314,206.058
ABW,Aruba,4/1/2020,55,5,0,0,515.145,46.831
ABW,Aruba,4/2/2020,55,0,0,0,515.145,0
ABW,Aruba,4/3/2020,60,5,0,0,561.977,46.831
ABW,Aruba,4/4/2020,62,2,0,0,580.709,18.733
ABW,Aruba,4/5/2020,64,2,0,0,599.442,18.733
ABW,Aruba,4/6/2020,64,0,0,0,599.442,0
ABW,Aruba,4/7/2020,71,7,0,0,665.006,65.564
ABW,Aruba,4/8/2020,74,3,0,0,693.105,28.099
ABW,Aruba,4/9/2020,77,3,0,0,721.203,28.099
ABW,Aruba,4/10/2020,82,5,0,0,768.035,46.831
ABW,Aruba,4/11/2020,86,4,0,0,805.5,37.465
ABW,Aruba,4/12/2020,92,6,0,0,861.698,56.198
ABW,Aruba,4/13/2020,92,0,0,0,861.698,0
ABW,Aruba,4/14/2020,92,0,0,0,861.698,0
ABW,Aruba,4/15/2020,92,0,0,0,861.698,0
ABW,Aruba,4/16/2020,93,1,1,1,871.064,9.366
ABW,Aruba,4/17/2020,95,2,1,0,889.796,18.733
ABW,Aruba,4/18/2020,96,1,2,1,899.163,9.366
ABW,Aruba,4/19/2020,96,0,2,0,899.163,0
ABW,Aruba,4/20/2020,97,1,2,0,908.529,9.366
ABW,Aruba,4/21/2020,97,0,2,0,908.529,0
ABW,Aruba,4/22/2020,97,0,2,0,908.529,0
ABW,Aruba,4/23/2020,100,3,2,0,936.628,28.099
ABW,Aruba,4/24/2020,100,0,2,0,936.628,0
ABW,Aruba,4/25/2020,100,0,2,0,936.628,0
